locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
O1.v1,Blantyre,208,45,0.693333333333333,0.445544554455446,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O1.v2,Blantyre,37,23,0.123333333333333,0.227722772277228,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O2afg.v2,Kilifi,44,23,0.303448275862069,0.258426966292135,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v1,Kilifi,36,23,0.248275862068966,0.258426966292135,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O2afg.v2,Blantyre,31,15,0.103333333333333,0.148514851485149,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O4,CHRFDSH,93,14,0.366141732283465,0.181818181818182,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,CHRFDSH,40,13,0.15748031496063,0.168831168831169,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,CHRFDSH,20,13,0.078740157480315,0.168831168831169,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,BAPP,21,13,0.7,0.619047619047619,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O1.v2,Kilifi,23,13,0.158620689655172,0.146067415730337,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,BAES,52,12,0.571428571428571,0.571428571428571,91,21,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
O1.v1,BANN,16,11,0.484848484848485,0.458333333333333,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O2afg.v2,SPINZ_Lusaka,250,11,0.87719298245614,0.392857142857143,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O1.v2,MBQueen Elizabeth Central Hospital,13,10,0.619047619047619,0.588235294117647,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
OL13,CHRFDSH,38,9,0.149606299212598,0.116883116883117,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O3b,CHRFDSH,11,8,0.0433070866141732,0.103896103896104,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O2afg.v2,CHRFDSH,36,8,0.141732283464567,0.103896103896104,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O3b,Kilifi,8,8,0.0551724137931034,0.0898876404494382,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O5,Kilifi,18,8,0.124137931034483,0.0898876404494382,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,AKU_Karachi,9,8,0.28125,0.285714285714286,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2afg.v2,HOSPITAL 1,11,7,0.244444444444444,0.269230769230769,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O5,HOSPITAL 1,9,7,0.2,0.269230769230769,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O4,Kilifi,9,7,0.0620689655172414,0.0786516853932584,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,MBKorle Bu Hospital,8,7,0.363636363636364,0.538461538461538,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
O1.v2,BGHOSPITAL 1,7,6,0.212121212121212,0.461538461538462,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O2a.v1,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,BANN,7,6,0.212121212121212,0.25,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O1.v1,SPINZ_Lusaka,8,6,0.0280701754385965,0.214285714285714,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O1.v2,HOSPITAL 1,17,6,0.377777777777778,0.230769230769231,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O1.v2,KEM-MUMBAI,6,6,0.285714285714286,0.352941176470588,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v1,Mbagathi,16,6,0.8,0.666666666666667,20,9,2021,2022,20,9,Kenya,NeoBAC,Eastern Africa
O2afg.v2,BGHOSPITAL 5,10,5,0.476190476190476,0.357142857142857,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
O1.v2,BGHOSPITAL 3,5,5,0.25,0.3125,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
O1.v1,BGHOSPITAL 3,5,5,0.25,0.3125,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
O4,Blantyre,6,5,0.02,0.0495049504950495,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
OL13,Blantyre,6,5,0.02,0.0495049504950495,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O4,CHRFCMOSH,5,5,0.3125,0.416666666666667,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O1.v1,HOSPITAL 1,7,5,0.155555555555556,0.192307692307692,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O4,JIPMER,19,5,0.513513513513513,0.25,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
O1.v2,JIPMER,5,5,0.135135135135135,0.25,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
O1.v1,AKU_Karachi,5,5,0.15625,0.178571428571429,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O1.v1,BGHOSPITAL 5,5,4,0.238095238095238,0.285714285714286,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
O1.v1,BGHOSPITAL 2,8,4,0.363636363636364,0.333333333333333,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
O5,BGHOSPITAL 4,8,4,0.421052631578947,0.444444444444444,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
O4,BGHOSPITAL 2,10,4,0.454545454545455,0.333333333333333,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
O2afg.v2,BAES,10,4,0.10989010989011,0.19047619047619,91,21,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
O2afg.v2,BANN,4,4,0.121212121212121,0.166666666666667,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O1.v1,BARK,6,4,0.428571428571429,0.363636363636364,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
O1.v1,JIPMER,6,4,0.162162162162162,0.2,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
O1.v1,KEM-MUMBAI,5,4,0.238095238095238,0.235294117647059,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v1,Kiambu sub-County Hospital,15,4,0.348837209302326,0.666666666666667,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
O4,AKU_Karachi,5,4,0.15625,0.142857142857143,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O1.v2,AIDH2,9,4,0.272727272727273,0.363636363636364,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O1.v2,MBKilimanjaro Christian Medical Centre,54,4,0.947368421052632,0.571428571428571,57,7,2021,2021,57,7,Tanzania,MBIRA,Eastern Africa
O2afg.v2,BGHOSPITAL 3,3,3,0.15,0.1875,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
O1.v2,BGHOSPITAL 5,3,3,0.142857142857143,0.214285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
O2afg.v2,BGHOSPITAL 1,6,3,0.181818181818182,0.230769230769231,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O5,BGHOSPITAL 2,3,3,0.136363636363636,0.25,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
O1.v2,BGHOSPITAL 4,7,3,0.368421052631579,0.333333333333333,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
O5,BGHOSPITAL 6,3,3,0.272727272727273,0.333333333333333,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
O5,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O3/O3a,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O4,CHRFKWMCH,9,3,0.5625,0.3,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
O3b,BABC,3,3,0.230769230769231,0.3,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
O1.v1,BABC,6,3,0.461538461538462,0.3,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
O2a.v1,BANN,6,3,0.181818181818182,0.125,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O2afg.v2,BARK,4,3,0.285714285714286,0.272727272727273,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
O2a.v1,SPINZ_Lusaka,5,3,0.0175438596491228,0.107142857142857,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O3b,SPINZ_Lusaka,3,3,0.0105263157894737,0.107142857142857,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O2a.v1,KEM-MUMBAI,5,3,0.238095238095238,0.176470588235294,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
OL13,Kilifi,3,3,0.0206896551724138,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O2a.v1,Kilifi,3,3,0.0206896551724138,0.0337078651685393,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,Mbagathi,4,3,0.2,0.333333333333333,20,9,2021,2022,20,9,Kenya,NeoBAC,Eastern Africa
O2afg.v2,AKU_Karachi,4,3,0.125,0.107142857142857,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O5,AKU_Karachi,3,3,0.09375,0.107142857142857,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Quetta,3,3,0.3,0.333333333333333,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O2afg.v2,MBKorle Bu Hospital,7,3,0.318181818181818,0.230769230769231,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
O4,MBUniversity Teaching Hospital,6,3,0.333333333333333,0.25,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O1.v2,MBHiwot Fa Hospital,9,3,0.36,0.375,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
O2a.v1,MBQueen Elizabeth Central Hospital,4,3,0.19047619047619,0.176470588235294,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
O1.v1,BGHOSPITAL 4,4,2,0.210526315789474,0.222222222222222,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
O2afg.v2,BGHOSPITAL 6,2,2,0.181818181818182,0.222222222222222,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
O4,BGHOSPITAL 1,17,2,0.515151515151515,0.153846153846154,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O1.v1,BGHOSPITAL 6,2,2,0.181818181818182,0.222222222222222,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
O2a.v1,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O3b,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O5,Blantyre,3,2,0.01,0.0198019801980198,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O2a.v1,CHRFCMOSH,4,2,0.25,0.166666666666667,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O2a.v1,CHRFKWMCH,2,2,0.125,0.2,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
O2a.v1,BAES,3,2,0.032967032967033,0.0952380952380952,91,21,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
O4,BAES,25,2,0.274725274725275,0.0952380952380952,91,21,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
O2afg.v2,BAPP,2,2,0.0666666666666667,0.0952380952380952,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O1.v2,BAPP,3,2,0.1,0.0952380952380952,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O3b,BARK,2,2,0.142857142857143,0.181818181818182,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
O1.v2,BARK,2,2,0.142857142857143,0.181818181818182,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
O1.v2,SPINZ_Lusaka,8,2,0.0280701754385965,0.0714285714285714,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
OL13,SPINZ_Lusaka,10,2,0.0350877192982456,0.0714285714285714,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O2a.v1,JIPMER,3,2,0.0810810810810811,0.1,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
O3/O3a,JIPMER,2,2,0.0540540540540541,0.1,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
O5,KEM-MUMBAI,3,2,0.142857142857143,0.117647058823529,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v2,AKU_Quetta,2,2,0.2,0.222222222222222,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
OL13,AKU_Hyderabaad,8,2,0.615384615384615,0.285714285714286,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
OL13,AKU_Karachi,3,2,0.09375,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Karachi,2,2,0.0625,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Hyderabaad,2,2,0.153846153846154,0.285714285714286,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
O1.v1,AKU_Hyderabaad,2,2,0.153846153846154,0.285714285714286,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
O2a.v1,AIDH2,5,2,0.151515151515152,0.181818181818182,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O1.v1,MBKorle Bu Hospital,6,2,0.272727272727273,0.153846153846154,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
O2a.v1,MBUniversity Teaching Hospital,4,2,0.222222222222222,0.166666666666667,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O1.v1,MBUniversity Teaching Hospital,2,2,0.111111111111111,0.166666666666667,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O1.v2,MBUniversity Teaching Hospital,2,2,0.111111111111111,0.166666666666667,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O2afg.v2,MBHiwot Fa Hospital,13,2,0.52,0.25,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
O2afg.v2,MBQueen Elizabeth Central Hospital,2,2,0.0952380952380952,0.117647058823529,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
O1.v1,MBQueen Elizabeth Central Hospital,2,2,0.0952380952380952,0.117647058823529,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
O1.v1,MBKilimanjaro Christian Medical Centre,2,2,0.0350877192982456,0.285714285714286,57,7,2021,2021,57,7,Tanzania,MBIRA,Eastern Africa
O5,BGHOSPITAL 1,2,1,0.0606060606060606,0.0769230769230769,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O3b,BGHOSPITAL 5,1,1,0.0476190476190476,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
O4,BGHOSPITAL 3,2,1,0.1,0.0625,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
O5,BGHOSPITAL 5,2,1,0.0952380952380952,0.0714285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
O4,BGHOSPITAL 6,2,1,0.181818181818182,0.111111111111111,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
O1.v1,BGHOSPITAL 1,1,1,0.0303030303030303,0.0769230769230769,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O2a.v1,BGHOSPITAL 3,1,1,0.05,0.0625,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
O5,BGHOSPITAL 3,4,1,0.2,0.0625,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
O2afg.v2,BGHOSPITAL 2,1,1,0.0454545454545455,0.0833333333333333,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
O3b,BGHOSPITAL 6,2,1,0.181818181818182,0.111111111111111,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
O3/O3a,Blantyre,1,1,0.00333333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O1.v3,Blantyre,4,1,0.0133333333333333,0.0099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O2afg.v2,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O1.v2,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O2afg.v2,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
O5,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O1.v2,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
O1.v1,CHRFCMOSH,1,1,0.0625,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O3b,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
O5,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
O1.v1,CHRFKWMCH,1,1,0.0625,0.1,16,10,2014,2020,17,11,Bangladesh,CHRF,Southern Asia
OL13,CHRFCMOSH,3,1,0.1875,0.0833333333333333,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
O2afg.v2,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
O1.v2,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
O5,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
O3/O3a,BABC,1,1,0.0769230769230769,0.1,13,10,2016,2017,17,14,Bangladesh,BARNARDS,Southern Asia
O12,BAES,1,1,0.010989010989011,0.0476190476190476,91,21,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
O12,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O2a.v1,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O3/O3a,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O3b,BAPP,1,1,0.0333333333333333,0.0476190476190476,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O4,SPINZ_Lusaka,1,1,0.00350877192982456,0.0357142857142857,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O4,HOSPITAL 1,1,1,0.0222222222222222,0.0384615384615385,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
OL13,JIPMER,1,1,0.027027027027027,0.05,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
OL103,JIPMER,1,1,0.027027027027027,0.05,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
OL13,KEM-MUMBAI,1,1,0.0476190476190476,0.0588235294117647,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O3b,KEM-MUMBAI,1,1,0.0476190476190476,0.0588235294117647,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v2,Kiambu sub-County Hospital,2,1,0.0465116279069767,0.166666666666667,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
O3/O3a,Kilifi,1,1,0.00689655172413793,0.0112359550561798,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O2a.v1,Kiambu sub-County Hospital,26,1,0.604651162790698,0.166666666666667,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
O3b,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Hyderabaad,1,1,0.0769230769230769,0.142857142857143,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
OL13,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O2a.v1,AKU_Karachi,1,1,0.03125,0.0357142857142857,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O3/O3a,AKU_Quetta,2,1,0.2,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O4,AKU_Quetta,1,1,0.1,0.111111111111111,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
O1.v1,AIDH2,1,1,0.0303030303030303,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
OL103,AIDH2,6,1,0.181818181818182,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O3/O3a,AIDH2,5,1,0.151515151515152,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O4,AIDH2,6,1,0.181818181818182,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O3b,AIDH2,1,1,0.0303030303030303,0.0909090909090909,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
O3/O3a,MBKorle Bu Hospital,1,1,0.0454545454545455,0.0769230769230769,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
O3b,MBUniversity Teaching Hospital,1,1,0.0555555555555556,0.0833333333333333,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
OL104,MBUniversity Teaching Hospital,1,1,0.0555555555555556,0.0833333333333333,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O2afg.v2,MBUniversity Teaching Hospital,2,1,0.111111111111111,0.0833333333333333,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
O1.v1,MBHiwot Fa Hospital,1,1,0.04,0.125,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
O4,MBHiwot Fa Hospital,1,1,0.04,0.125,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
OL13,MBHiwot Fa Hospital,1,1,0.04,0.125,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
O2afg.v2,MBKilimanjaro Christian Medical Centre,1,1,0.0175438596491228,0.142857142857143,57,7,2021,2021,57,7,Tanzania,MBIRA,Eastern Africa
