Study,SiteCode,Long_city,Lat_city
MBIRA,54,-0.226387184,5.536714459
BARNARDS,20,7.46178105,9.04083949
BARNARDS,19,8.52424866,11.99865037
BARNARDS,26,18.61276236,-33.90943352
MBIRA,57,18.6129298,-33.91035555
BabyGERMS,27,25.56143845,-33.87933892
NIMBIplus,59,25.92390061,-24.65664971
BabyGERMS,30,26.6633642,-26.87849128
GBS,42,28.0774479,-25.50333952
BabyGERMS,28,28.23857377,-25.98344734
SPINZ,60,28.27497679,-15.41595042
MBIRA,58,28.32277301,-15.38732724
BabyGERMS,29,29.7260115,-23.88043049
BARNARDS,24,29.7507744,-2.103559011
BabyGERMS,32,30.97134622,-25.47702984
BabyGERMS,31,31.89571051,-28.74005925
MLW,33,35.01531193,-15.76694186
MBIRA,55,35.02158851,-15.80256751
NeoBAC,51,36.80355013,-1.241129016
NeoBAC,48,36.83024387,-1.170958595
MBIRA,53,37.32744348,-3.319731869
BARNARDS,17,38.72962307,9.04866276
Kilifi,49,39.9093,-3.5107
MBIRA,52,42.1291694,9.306223011
AKU,12,66.9987,30.1834
AKU,8,67.0011,24.8607
AKU,7,68.3578,25.396
NeoOBS-India,47,72.84146117,19.00294109
BARNARDS,23,73.05234763,33.7034213
NeoOBS-India,46,79.79733867,11.95311799
DH,2,82.10538244,21.16153854
CHRF,38,90.09306628,24.09756707
CHRF,37,90.36898438,23.77334469
BARNARDS,15,91.80630545,22.32303465
CHRF,35,91.80678825,22.32311405