Region,Country,Study,Site,Study_Site,City,Facility,Long_city,Lat_city
Southern Asia,India,DH,2,DH_2,Mahasamund Chhattisgarh,,82.10538244,21.16153854
Southern Asia,Pakistan,AKU,11,AKU_11,Karachi,,67.0011,24.8607
Southern Asia,Pakistan,AKU,10,AKU_10,Hyderabaad,,68.3578,25.396
Southern Asia,Pakistan,AKU,15,AKU_15,Quetta,,66.9987,30.1834
Southern Africa,South Africa,BabyGERMS,30,BabyGERMS_30,Gqeberha,Dora Nginza Provincial Hospital,25.56143845,-33.87933892
Southern Africa,South Africa,BabyGERMS,31,BabyGERMS_31,Thembisa,Tembisa Hospital,28.23857377,-25.98344734
Southern Africa,South Africa,BabyGERMS,32,BabyGERMS_32,Polokwane,Mankweng Hospital,29.7260115,-23.88043049
Southern Africa,South Africa,BabyGERMS,33,BabyGERMS_33,Klerksdorp,Klerksdorp,26.6633642,-26.87849128
Southern Africa,South Africa,BabyGERMS,34,BabyGERMS_34,Empangeni,Queen Nandi Regional Hospital,31.89571051,-28.74005925
Southern Africa,South Africa,BabyGERMS,35,BabyGERMS_35,Mbombela,Rob Ferreira Hospital,30.97134622,-25.47702984
Eastern Africa,Ethiopia,BARNARDS,20,BARNARDS_20,Addis Ababa,,38.72962307,9.04866276
Eastern Africa,Rwanda,BARNARDS,27,BARNARDS_27,Kabgayi,,29.7507744,-2.103559011
Western Africa,Nigeria,BARNARDS,23,BARNARDS_23,Abuja,,7.46178105,9.04083949
Western Africa,Nigeria,BARNARDS,22,BARNARDS_22,Kano,,8.52424866,11.99865037
Southern Africa,South Africa,BARNARDS,29,BARNARDS_29,Cape Town,,18.61276236,-33.90943352
Southern Asia,Pakistan,BARNARDS,26,BARNARDS_26,Islamabad,,73.05234763,33.7034213
Southern Asia,Bangladesh,BARNARDS,18,BARNARDS_18,Chattogram,,91.80630545,22.32303465
Southern Africa,Botswana,NIMBIplus,59,NIMBIplus_59,Gaborone,,25.92390061,-24.65664971
Southern Africa,South Africa,GBS,45,GBS_45,Johannesburg,,28.0774479,-25.50333952
Eastern Africa,Kenya,Kilifi,50,Kilifi_50,Kilifi,Kilifi County Hospital,39.9093,-3.5107
Eastern Africa,Ethiopia,MBIRA,52,MBIRA_52,Harar,Hiwot Fana Hospital,42.1291694,9.306223011
Eastern Africa,Tanzania,MBIRA,53,MBIRA_53,Moshi,Kilimanjaro Christian Medical Centre,37.32744348,-3.319731869
Eastern Africa,Malawi,MBIRA,56,MBIRA_56,Blantyre,Queen Elizabeth Central Hospital,35.02158851,-15.80256751
Eastern Africa,Zambia,MBIRA,58,MBIRA_58,Lusaka,University Teaching Hospital Lusaka,28.32277301,-15.38732724
Western Africa,Ghana,MBIRA,54,MBIRA_54,Accra,Korle Bu Hospital,-0.226387184,5.536714459
Southern Africa,South Africa,MBIRA,57,MBIRA_57,Cape Town,Tygerberg Hospital,18.6129298,-33.91035555
Eastern Africa,Malawi,MLW,36,MLW_36,Blantyre,,35.01531193,-15.76694186
Eastern Africa,Kenya,NeoBAC,49,NeoBAC_49,Kiambu,Kiambu sub-County Hospital,36.83024387,-1.170958595
Eastern Africa,Kenya,NeoBAC,51,NeoBAC_51,Mbagathi,Mbagathi County Hospital,36.80355013,-1.241129016
Southern Asia,India,NeoOBS-India,5,NeoOBS-India_5,Puducherry,JIPMER,79.79733867,11.95311799
Southern Asia,India,NeoOBS-India,6,NeoOBS-India_6,Mumbai,KEM,72.84146117,19.00294109
Eastern Africa,Zambia,SPINZ,60,SPINZ_60,Lusaka,,28.27497679,-15.41595042
Southern Asia,Bangladesh,CHRF,38,CHRF_38,Chattogram,Chattogram Maa-O-Shishu Hospital,91.80678825,22.32311405
Southern Asia,Bangladesh,CHRF,40,CHRF_40,Dhaka,Dhaka Sishu Hospital,90.36898438,23.77334469
Southern Asia,Bangladesh,CHRF,41,CHRF_41,Mirzapur,Kumuduni Women's Medical College,90.09306628,24.09756707